Date,Dividends
2010-07-06,2.999732
2011-06-29,2.999513
2012-07-04,2.999481
2013-07-03,2.999552
2014-07-14,2.999912
2015-06-29,4.499875
2016-06-27,6.000000
2017-06-26,7.000000
2018-06-25,8.000000
2019-06-24,8.000000
2019-09-19,2.000000
2019-12-19,2.500000
2020-03-19,2.500000
2020-06-18,2.500000
2020-09-17,2.500000
2020-12-17,2.500000
2021-03-17,2.500000
2021-06-17,2.500000
2021-09-16,2.750000
2021-12-16,2.750000
2022-03-16,2.750000
2022-06-16,2.750000
2022-09-15,2.750000
2022-12-15,2.750000
2023-03-16,2.749821
2023-06-15,2.749821
2023-09-14,3.000000
2023-12-14,3.000000
2024-03-18,3.499790
