date,symbol,open,close,low,high,volume
2010/1/4,TSMC,65,64.900002,64,65,39407000
2010/1/5,TSMC,65,64.5,63.900002,65.099998,37138000
2010/1/6,TSMC,64.5,64.900002,63.700001,64.900002,49261000
2010/1/7,TSMC,64.900002,64.199997,64.199997,65,42134000
2010/1/8,TSMC,63.5,64,63.5,64.300003,46076000
2010/1/11,TSMC,64,64.5,63.5,64.900002,36799000
2010/1/12,TSMC,64.400002,63.599998,63.299999,64.400002,49853000
2010/1/13,TSMC,63,62.799999,62.599998,63.099998,47976000
2010/1/14,TSMC,63.599998,63.200001,63,63.599998,36149000
2010/1/15,TSMC,62.900002,63.5,62.799999,63.5,47852000
2010/1/18,TSMC,62.799999,62.900002,62.799999,63.099998,30136000
2010/1/19,TSMC,63,62.5,62,63.200001,47202000
2010/1/20,TSMC,62.900002,63,62.200001,63.200001,52281000
2010/1/21,TSMC,63,62.599998,62.099998,63,24738000
2010/1/22,TSMC,61.5,61.099998,61,61.700001,63918000
2010/1/25,TSMC,60.099998,60.400002,60.099998,60.799999,62151000
2010/1/26,TSMC,60.599998,60.099998,60,61.200001,79112000
2010/1/27,TSMC,60.099998,59.599998,59.5,60.400002,52639000
2010/1/28,TSMC,60.5,60,59.799999,61.5,43988000
2010/1/29,TSMC,60.099998,61.5,59.400002,61.5,91560000
2010/2/1,TSMC,60.700001,59.799999,59.5,60.700001,75480000
2010/2/2,TSMC,60.200001,59,59,60.400002,65510000
2010/2/3,TSMC,60.200001,59.799999,58.799999,60.299999,42426000
2010/2/4,TSMC,60,59.099998,59,60,42564000
2010/2/5,TSMC,57.599998,57.200001,57.200001,57.900002,62227000
2010/2/8,TSMC,58,57.400002,57,58.200001,45247000
2010/2/9,TSMC,58.400002,58.599998,57.700001,59.200001,45754000
2010/2/10,TSMC,59,58.400002,58.200001,59.200001,53679000
2010/2/22,TSMC,60.5,59,59,60.5,47519000
2010/2/23,TSMC,59.599998,59.799999,59.099998,59.900002,50343000
2010/2/24,TSMC,59.200001,58.5,58.400002,59.200001,54884000
2010/2/25,TSMC,58.5,58.200001,57.900002,58.900002,55655000
2010/2/26,TSMC,58.200001,58.799999,58,58.900002,30877000
2010/3/1,TSMC,59.5,59.599998,58.200001,59.900002,60146000
2010/3/2,TSMC,60.5,59.900002,59.5,60.5,53495000
2010/3/3,TSMC,59.599998,60,59.599998,60.099998,32150000
2010/3/4,TSMC,59.799999,59.200001,58.400002,59.799999,53405000
2010/3/5,TSMC,59.799999,60.400002,59.599998,60.400002,59062000
2010/3/8,TSMC,60.900002,61.200001,60.599998,61.200001,43993000
2010/3/9,TSMC,61.200001,61.299999,60.799999,61.400002,29829000
2010/3/10,TSMC,61.299999,61.400002,60.799999,61.400002,30540000
2010/3/11,TSMC,61.599998,61.400002,61.200001,61.799999,25340000
2010/3/12,TSMC,61.400002,60.799999,60.599998,61.5,67894000
2010/3/15,TSMC,61.299999,59.799999,59.799999,61.299999,37911000
2010/3/16,TSMC,60.099998,59.700001,59.700001,60.200001,29394000
2010/3/17,TSMC,60.5,60.5,59.900002,60.900002,68876000
2010/3/18,TSMC,60.099998,60.400002,60,60.599998,70048000
2010/3/19,TSMC,60,60,59.700001,60.299999,45829000
2010/3/22,TSMC,59.599998,59,58.799999,59.599998,47044000
2010/3/23,TSMC,59.5,59.599998,59.5,60.099998,48107000
2010/3/24,TSMC,60.099998,60.599998,60.099998,60.799999,46973000
2010/3/25,TSMC,60.900002,61.5,60.200001,61.5,62713000
2010/3/26,TSMC,61.299999,62,60.299999,62,77332000
2010/3/29,TSMC,62,62.200001,61.700001,62.299999,37464000
2010/3/30,TSMC,62.400002,62.200001,61.700001,62.400002,29950000
2010/3/31,TSMC,62.200001,61.5,61.5,62.200001,39228000
2010/4/1,TSMC,61.5,62.099998,61.5,62.5,54656000
2010/4/2,TSMC,62.5,62.400002,62.099998,62.5,17299000
2010/4/6,TSMC,62.799999,63.400002,62.799999,63.5,52915000
2010/4/7,TSMC,63.5,63.5,63.099998,63.5,48336000
2010/4/8,TSMC,62.799999,62.299999,62.099998,63,48530000
2010/4/9,TSMC,61.900002,62.700001,61.900002,63,31569000
2010/4/12,TSMC,63.299999,63.099998,62.799999,63.400002,34914000
2010/4/13,TSMC,63,62.900002,62.099998,63.099998,42708000
2010/4/14,TSMC,63.099998,63.799999,62.900002,63.799999,55548000
2010/4/15,TSMC,64.5,64.400002,64,64.900002,70894000
2010/4/16,TSMC,63.599998,63,62.900002,63.700001,49654000
2010/4/19,TSMC,62.5,62.599998,62.400002,63.200001,66249000
2010/4/20,TSMC,62.900002,62.799999,62.400002,63,37426000
2010/4/21,TSMC,62.900002,62.400002,62.299999,63.099998,44895000
2010/4/22,TSMC,61.799999,61.599998,60.799999,61.799999,90506000
2010/4/23,TSMC,61.900002,61.700001,61.599998,62.400002,48869000
2010/4/26,TSMC,62.400002,63.5,62.400002,63.599998,67358000
2010/4/27,TSMC,63.5,63.700001,63.099998,63.700001,25300000
2010/4/28,TSMC,62.099998,62.099998,62,62.599998,72599000
2010/4/29,TSMC,62.200001,61.599998,61.599998,62.200001,40178000
2010/4/30,TSMC,61.799999,61.799999,61.799999,62.700001,43339000
2010/5/3,TSMC,62.599998,61.599998,61.400002,62.599998,22418000
2010/5/4,TSMC,61.900002,61,60.799999,62,38039000
2010/5/5,TSMC,59.900002,59.799999,59.799999,60.200001,93944000
2010/5/6,TSMC,59.799999,59.5,59.200001,59.900002,48824000
2010/5/7,TSMC,58.599998,59.400002,58.5,60.099998,61514000
2010/5/10,TSMC,59.400002,59.799999,59,60,56272000
2010/5/11,TSMC,60.400002,60.099998,59.900002,60.599998,67770000
2010/5/12,TSMC,61,60.099998,60,61,27694000
2010/5/13,TSMC,60.599998,61.200001,60.5,61.5,39828000
2010/5/14,TSMC,60.700001,61.200001,60.5,61.5,31551000
2010/5/17,TSMC,60.5,59.200001,59.099998,60.5,73173000
2010/5/18,TSMC,59.599998,59.5,59.400002,60,30445000
2010/5/19,TSMC,59,59.299999,58.599998,59.599998,48408000
2010/5/20,TSMC,59.5,58.900002,58.900002,59.700001,31637000
2010/5/21,TSMC,58.299999,58.799999,57.900002,59.099998,45655000
2010/5/24,TSMC,59.599998,59,58.700001,59.599998,19294000
2010/5/25,TSMC,58.799999,58.400002,58.099998,58.900002,48371000
2010/5/26,TSMC,58.900002,58.900002,58.5,59,42766000
2010/5/27,TSMC,58.5,58.700001,57.700001,59.299999,55467000
2010/5/28,TSMC,58.900002,58.700001,58.299999,59.400002,61106000
2010/5/31,TSMC,59.099998,60.200001,58.799999,60.200001,25365000
2010/6/1,TSMC,59.900002,59.799999,59.200001,60,27295000
2010/6/2,TSMC,59.799999,59.799999,59.299999,60.400002,35241000
2010/6/3,TSMC,60.799999,60.799999,60.5,61,46916000
2010/6/4,TSMC,60.5,61,60.200001,61,41837000
2010/6/7,TSMC,59.700001,59.200001,58.700001,59.700001,69197000
2010/6/8,TSMC,58.900002,58.5,58.400002,59.200001,40396000
2010/6/9,TSMC,58.400002,58.599998,58.299999,59,45955000
2010/6/10,TSMC,59.799999,59.400002,58.799999,59.799999,28784000
2010/6/11,TSMC,60.200001,60.5,60,60.5,41097000
2010/6/14,TSMC,60.900002,61.099998,60.900002,61.400002,44867000
2010/6/15,TSMC,61.299999,61.400002,60.700001,61.900002,37382000
2010/6/17,TSMC,62,62.099998,61.700001,62.299999,55896000
2010/6/18,TSMC,62.400002,62.700001,61.799999,62.700001,46267000
2010/6/21,TSMC,63.099998,63.299999,63.099998,63.700001,68207000
2010/6/22,TSMC,63.299999,62.599998,62.599998,63.299999,30437000
2010/6/23,TSMC,62,62.099998,62,62.5,37155000
2010/6/24,TSMC,62.099998,62,61.700001,62.200001,35311000
2010/6/25,TSMC,61.5,61.400002,61.299999,61.900002,30548000
2010/6/28,TSMC,61.200001,61.700001,61.099998,61.700001,20466000
2010/6/29,TSMC,62,61,61,62.599998,47903000
2010/6/30,TSMC,60.299999,60.599998,60.299999,61,58283000
2010/7/1,TSMC,60.599998,60.200001,60,60.599998,15325000
2010/7/2,TSMC,60,60.299999,60,60.700001,66885000
2010/7/5,TSMC,60.299999,61.400002,60.299999,61.799999,86939000
